Cell A1: Value=Sahara Avontuur Reeks  (Afrikaans ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell B1: Value=Sahara Adventure Series  (English ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell C1: Value=Die Buiter Reeks (Afrikaans ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell D1: Value=The Masked Robber Series (English ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell A2: Value=1. Heks van die Sahara, Bold=False, FillType=None, Color=00000000
Cell B2: Value=1. Witch of the Sahara, Bold=False, FillType=None, Color=00000000
Cell C2: Value=1. Die Buiter, Bold=False, FillType=None, Color=00000000
Cell D2: Value=1. The Masked Robber, Bold=False, FillType=None, Color=00000000
Cell A3: Value=2. Spore na die Dood, Bold=False, FillType=None, Color=00000000
Cell B3: Value=2. Footsteps to Death, Bold=False, FillType=None, Color=00000000
Cell C3: Value=2. Lank Lewe die Buiter, Bold=False, FillType=None, Color=00000000
Cell D3: Value=2. Long Live the Masked Robber, Bold=False, FillType=None, Color=00000000
Cell A4: Value=3. Die Skarlaken Ruiters, Bold=False, FillType=None, Color=00000000
Cell B4: Value=3. The Scarlet Riders, Bold=False, FillType=None, Color=00000000
Cell C4: Value=3. Die Buiter en sy Bende, Bold=False, FillType=None, Color=00000000
Cell D4: Value=3. The Masked Robber and His Gang, Bold=False, FillType=None, Color=00000000
Cell A5: Value=4. Wraak van die Woestyn, Bold=False, FillType=None, Color=00000000
Cell B5: Value=4. Revenge of the Desert, Bold=False, FillType=None, Color=00000000
Cell C5: Value=4. Lokval vir die Buiter, Bold=False, FillType=None, Color=00000000
Cell D5: Value=4. Bait for the Masked Robber, Bold=False, FillType=None, Color=00000000
Cell A6: Value=5. Die Fort is Stil, Bold=False, FillType=None, Color=00000000
Cell B6: Value=5. The Fort is Silent, Bold=False, FillType=None, Color=00000000
Cell C6: Value=5. Die Buiter ry Snags, Bold=False, FillType=None, Color=00000000
Cell D6: Value=5. The Masked Robber Rides in the Night, Bold=False, FillType=None, Color=00000000
Cell A7: Value=6. Dood met Sonop, Bold=False, FillType=None, Color=00000000
Cell B7: Value=6. Death at Sunrise, Bold=False, FillType=None, Color=00000000
Cell C7: Value=6. Die Buiter se Geheim, Bold=False, FillType=None, Color=00000000
Cell D7: Value=6. The Masked Robber’s Secret, Bold=False, FillType=None, Color=00000000
